Category,English,Spanish,Pronunciation
Essential Greetings,Hello,Hola,OH-lah
Essential Greetings,Goodbye,Adiós,ah-DYOHS
Essential Greetings,Thank you,Gracias,GRAH-thyahs
Essential Greetings,Please,Por favor,por fah-VOR
Essential Greetings,Excuse me,Con permiso,kon per-MEE-so
Essential Greetings,Good morning,Buenos días,BWAY-nos DEE-ahs
Essential Greetings,Good afternoon,Buenas tardes,BWAY-nas TAR-des
Essential Greetings,Good night,Buenas noches,BWAY-nas NO-ches
Essential Greetings,How are you?,¿Cómo estás?,KOH-moh ehs-TAHS
Essential Greetings,I'm fine,Estoy bien,ehs-TOY bee-EHN
Family Members,Mother/Mom,Madre/Mamá,MAH-dreh/mah-MAH
Family Members,Father/Dad,Padre/Papá,PAH-dreh/pah-PAH
Family Members,Sister,Hermana,er-MAH-nah
Family Members,Brother,Hermano,er-MAH-no
Family Members,Grandmother,Abuela,ah-BWAY-lah
Family Members,Grandfather,Abuelo,ah-BWAY-lo
Family Members,Aunt,Tía,TEE-ah
Family Members,Uncle,Tío,TEE-oh
Family Members,Cousin,Primo/Prima,PREE-mo/PREE-mah
Family Members,Baby,Bebé,beh-BEH
Spatial Words,On/On top of,Encima de/Sobre,en-SEE-mah deh
Spatial Words,Under,Debajo de,deh-BAH-ho deh
Spatial Words,Next to,Al lado de,ahl LAH-do deh
Spatial Words,Behind,Detrás de,deh-TRAHS deh
Spatial Words,In front of,Delante de,deh-LAHN-teh deh
Spatial Words,Inside,Dentro de,DEN-tro deh
Spatial Words,Outside,Fuera de,FWAY-rah deh
Spatial Words,Between,Entre,EN-treh
Spatial Words,Above,Arriba de,ah-REE-bah deh
Spatial Words,Below,Abajo de,ah-BAH-ho deh
Feelings Emotions,Happy,Feliz/Contento,feh-LEES/kon-TEN-to
Feelings Emotions,Sad,Triste,TREES-teh
Feelings Emotions,Angry,Enojado,eh-no-HAH-do
Feelings Emotions,Tired,Cansado,kan-SAH-do
Feelings Emotions,Hungry,Hambriento,am-bree-EN-to
Feelings Emotions,Thirsty,Sediento,seh-dee-EN-to
Feelings Emotions,Excited,Emocionado,eh-mo-see-o-NAH-do
Feelings Emotions,Scared,Asustado,ah-soos-TAH-do
Feelings Emotions,Hot,Caliente,ka-lee-EN-teh
Feelings Emotions,Cold,Frío,FREE-o
Body Parts,Head,Cabeza,ka-BEH-sah
Body Parts,Hair,Pelo,PEH-lo
Body Parts,Eyes,Ojos,OH-hos
Body Parts,Nose,Nariz,nah-REES
Body Parts,Mouth,Boca,BOH-ka
Body Parts,Hands,Manos,MAH-nos
Body Parts,Feet,Pies,pee-EHS
Body Parts,Arms,Brazos,BRAH-sos
Body Parts,Legs,Piernas,pee-ER-nas
Body Parts,Back,Espalda,ehs-PAHL-da
Colors,Red,Rojo,ROH-ho
Colors,Blue,Azul,ah-SOOL
Colors,Yellow,Amarillo,ah-mah-REE-yo
Colors,Green,Verde,VER-deh
Colors,Black,Negro,NEH-gro
Colors,White,Blanco,BLAHN-ko
Colors,Pink,Rosa,ROH-sa
Colors,Orange,Naranja,nah-RAHN-ha
Colors,Purple,Morado,mo-RAH-do
Colors,Brown,Marrón,mah-ROHN
Food Basics,Water,Agua,AH-gwa
Food Basics,Milk,Leche,LEH-cheh
Food Basics,Bread,Pan,pahn
Food Basics,Apple,Manzana,man-SAH-na
Food Basics,Banana,Plátano,PLAH-ta-no
Food Basics,Chicken,Pollo,POH-yo
Food Basics,Rice,Arroz,ah-ROHS
Food Basics,Beans,Frijoles,free-HOH-les
Food Basics,Cheese,Queso,KEH-so
Food Basics,Egg,Huevo,WAY-vo
Daily Actions,Wake up,Despertarse,des-per-TAR-seh
Daily Actions,Get dressed,Vestirse,ves-TEER-seh
Daily Actions,Eat breakfast,Desayunar,deh-sah-yu-NAHR
Daily Actions,Go to school,Ir a la escuela,eer ah lah ehs-KWAY-lah
Daily Actions,Play,Jugar,hu-GAHR
Daily Actions,Take a bath,Bañarse,bah-NYAR-seh
Daily Actions,Brush teeth,Lavarse los dientes,la-VAR-seh los dee-EN-tes
Daily Actions,Go to bed,Acostarse,ah-kos-TAR-seh
Daily Actions,Walk,Caminar,ka-mee-NAHR
Daily Actions,Run,Correr,ko-RRER
Mexican Expressions,What's up?,¿Qué onda?,See usage notes
Mexican Expressions,Really?,¿Neta?,See usage notes
Mexican Expressions,Cool/Awesome,Qué padre/Está padrísimo,See usage notes
Mexican Expressions,Dude/Guy,Güey,See usage notes
Mexican Expressions,No way!,¡No manches!,See usage notes
Mexican Expressions,Right now,Ahorita,See usage notes
Mexican Expressions,How's it going?,¿Cómo te va?,See usage notes
Mexican Expressions,To chat/talk,Platicar,See usage notes
Mexican Expressions,Kid/Child,Chamaco/Escuincle,See usage notes
Mexican Expressions,Wow!,¡Híjole!,See usage notes
