Routine,English,Spanish,Pronunciation
Morning,Good morning!,¡Buenos días!,BWAY-nos DEE-ahs
Morning,Time to wake up,Hora de levantarse,OH-rah deh leh-van-TAR-seh
Morning,Get dressed,Vístete,VEES-teh-teh
Morning,Let's eat breakfast,Vamos a desayunar,VAH-mos ah deh-sah-yu-NAHR
Morning,Brush your teeth,Lávate los dientes,LAH-va-teh los dee-EN-tes
Morning,Where are your shoes?,¿Dónde están tus zapatos?,DOHN-deh ehs-TAHN toos sah-PAH-tos
Morning,Ready to go?,¿Listo para ir?,LEES-to PAH-rah eer
Morning,Have a great day!,¡Que tengas un buen día!,keh TEN-gahs oon bwen DEE-ah
Meals,Are you hungry?,¿Tienes hambre?,tee-EH-nes AHM-breh
Meals,What do you want to eat?,¿Qué quieres comer?,keh kee-EH-res ko-MEHR
Meals,Sit down please,Siéntate por favor,see-EN-ta-teh por fah-VOR
Meals,More water?,¿Más agua?,mahs AH-gwa
Meals,How does it taste?,¿Cómo sabe?,KOH-mo SAH-beh
Meals,Finish your food,Termina tu comida,ter-MEE-nah too ko-MEE-dah
Meals,May I have more?,¿Puedo tener más?,PWAY-do teh-NEHR mahs
Meals,I'm full,Estoy lleno,ehs-TOY YEH-no
Playtime,Let's play!,¡Vamos a jugar!,VAH-mos ah hu-GAHR
Playtime,Where is the toy?,¿Dónde está el juguete?,DOHN-deh ehs-TAH el hu-GEH-teh
Playtime,Share with your sister,Comparte con tu hermana,kom-PAR-teh kon too er-MAH-nah
Playtime,Clean up time,Hora de limpiar,OH-rah deh lim-pee-AHR
Playtime,Be careful,Ten cuidado,ten kwee-DAH-do
Playtime,That's fun!,¡Qué divertido!,keh dee-ver-TEE-do
Playtime,Let's go outside,Vamos afuera,VAH-mos ah-FWAY-rah
Playtime,Come here,Ven acá,ven ah-KAH
Bedtime,Time for bath,Hora del baño,OH-rah del BAH-nyo
Bedtime,Put on pajamas,Ponte la pijama,PON-teh lah pee-HAH-mah
Bedtime,Brush your teeth,Lávate los dientes,LAH-va-teh los dee-EN-tes
Bedtime,Story time,Hora del cuento,OH-rah del KWEN-to
Bedtime,Sweet dreams,Dulces sueños,DOOL-ses SWAY-nyos
Bedtime,Good night,Buenas noches,BWAY-nas NO-ches
Bedtime,I love you,Te amo,teh AH-mo
Bedtime,Sleep well,Duerme bien,DWER-meh bee-EN
